Tweet_ID;Tweet_Text;Aspek;Sentimen;Alasan
1;gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia. dengan kebijakan bebas ppn sesuai pp no. 49 tahun 2022, pgn memastikan tidak ada tambahan beban pajak bagi pelanggan kami;ENERGY_ACCESS;Positif;Tweet menonjolkan gas bumi sebagai solusi bersih dan terjangkau, ditambah kebijakan bebas PPN yang menguntungkan konsumen
2;sejumlah dampak buruk dari deforestasi yang berlebihan;ENVIRONMENTAL_IMPACT;Negatif;Secara eksplisit menyebut dampak buruk dari deforestasi
3;kok iso dadi presiden ngene iki, aku ae sma makalah ku bahas deforestasi hutan;ENVIRONMENTAL_IMPACT;Negatif;Tone sarkastis dan kritik terhadap presiden terkait isu deforestasi
4;gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia. dengan kebijakan bebas ppn sesuai pp no. 49 tahun 2022, pgn memastikan tidak ada tambahan beban pajak bagi pelanggan kami;ENERGY_ACCESS;Positif;Sama dengan tweet 1, menekankan manfaat gas bumi dan dampak positif kebijakan
5;belom jg 3 bulan ngejabat. wowok and the gang sudah bikin gempar saja tiap hari. yang terbaru dan bikin sedihh banget itu soal deforestasi hutan diganti sawit;ENVIRONMENTAL_IMPACT;Negatif;Kritik tajam terhadap pemerintah dan ekspresikan kesedihan tentang deforestasi untuk sawit
6;pemerintah meningkatkan target penggunaan energi baru dan terbarukan (ebt) menjadi 23 persen di 2025 dan 31% pada 2030;ENERGY_TECHNOLOGY;Positif;Menyampaikan target peningkatan EBT sebagai langkah positif transisi energi
7;upaya ini untuk memastikan transisi energi berjalan dengan baik sebagai langkah nyata menuju penerapan energi baru terbarukan dan mencapai swasembada energi;ENERGY_TECHNOLOGY;Positif;Mendukung upaya transisi energi dengan tone optimis
8;pemerintah meningkatkan target penggunaan energi baru dan terbarukan (ebt) menjadi 23 persen di 2025 dan 31% pada 2030;ENERGY_TECHNOLOGY;Positif;Sama dengan tweet 6, menyampaikan target EBT secara positif
9;deforestasi akibat perkebunan kelapa sawit: ancaman lingkungan yang kian meningkat;ENVIRONMENTAL_IMPACT;Negatif;Eksplisit menyebut deforestasi sawit sebagai ancaman lingkungan
10;climate change is here itu beneran sih. more than words, need an action!;ENVIRONMENTAL_IMPACT;Positif;Mengakui realitas climate change tapi lebih ke awareness daripada sentimen spesifik
11;kerjasama dengan kementeria esdm, demokrat salurkan bantuan ribuan alat masak di ponorogo;GOVERNMENT_POLICY;Positif;Menyoroti kerjasama positif dengan Kementerian ESDM dalam program bantuan
12;gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan tweets sebelumnya tentang manfaat gas bumi
13;pertamina mantap dukung program b40, siap jadi pionir energi bersih;ENERGY_TECHNOLOGY;Positif;Apresiasi terhadap Pertamina dan program biodiesel B40 sebagai energi bersih
14;camp tambang emas illegal di geumpang, pidie di bakar dalam tindakan penutupan tambang illegal di aceh;GOVERNMENT_POLICY;Netral;Mendukung tindakan pemerintah memberantas tambang ilegal
15;ga usah takut deforestasi, kan kelapa sawit juga pohon;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme dan kritik terhadap argumen yang meremehkan dampak deforestasi
16;industri komponen energi terbarukan diprediksi paling potensial pada 2025;ENERGY_TECHNOLOGY;Positif;Optimisme terhadap prospek industri energi terbarukan
17;gas bumi untuk rakyat gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia;ENERGY_ACCESS;Positif;Konsisten dengan tweets serupa sebelumnya
